Date,Open,High,Low,Close,Adj Close,Volume
2023-06-26,455.940002,456.160004,446.679993,452.799988,446.613525,997200
2023-06-27,452.790009,455.630005,452.420013,453.149994,446.958740,671100
2023-06-28,453.579987,453.760010,447.459991,449.660004,443.516449,848900
2023-06-29,449.920013,457.529999,448.779999,457.440002,451.190155,684200
2023-06-30,459.239990,462.670013,456.790009,460.380005,454.089996,982700
2023-07-03,460.000000,463.329987,457.549988,462.579987,456.259918,385400
2023-07-05,461.570007,463.350006,458.940002,462.760010,456.437469,625500
2023-07-06,463.000000,463.000000,459.339996,461.640015,455.332794,675900
2023-07-07,460.000000,461.890015,458.100006,458.709991,452.442780,639400
2023-07-10,458.500000,462.589996,458.049988,460.380005,454.089996,718400
2023-07-11,461.269989,467.100006,459.790009,466.290009,459.919220,709200
2023-07-12,467.200012,467.220001,461.119995,461.959991,455.648407,1067100
2023-07-13,461.000000,467.440002,460.329987,466.380005,460.007996,821700
2023-07-14,466.000000,466.519989,462.359985,464.309998,457.966309,932900
2023-07-17,466.290009,473.989990,465.619995,469.970001,463.548981,1886300
2023-07-18,474.369995,479.500000,454.279999,455.700012,449.473938,3122600
2023-07-19,457.000000,459.279999,448.109985,451.510010,445.341156,2141500
2023-07-20,452.630005,458.200012,452.000000,456.010010,449.779694,1353800
2023-07-21,454.809998,456.940002,453.350006,454.760010,448.546783,934300
2023-07-24,456.000000,457.950012,454.040009,456.799988,450.558868,892200
2023-07-25,452.429993,454.760010,447.420013,454.149994,447.945099,1207800
2023-07-26,454.329987,457.049988,451.869995,452.809998,446.623413,1322300
2023-07-27,451.500000,452.420013,445.320007,448.640015,442.510376,1603600
2023-07-28,448.000000,450.649994,446.489990,449.000000,442.865479,1163100
2023-07-31,449.709991,449.709991,444.630005,446.369995,440.271393,1806000
2023-08-01,447.029999,453.119995,446.899994,451.279999,445.114319,1047900
2023-08-02,451.279999,453.130005,447.910004,448.559998,442.431488,905700
2023-08-03,447.320007,450.200012,445.980011,447.920013,441.800232,1240700
2023-08-04,448.579987,450.290009,445.309998,445.720001,439.630249,846800
